id,cid,pid,p,ap,v,ciso,u,dt,yoypc,seqpc
18315_13741669_13001_1HFY-2024,18315,13741669,1HFY-2024,1HFY-2024,702000000.0,INR,1,A,16.1674664901539,
18315_13741669_13001_4QFY-2016,18315,13741669,4QFY-2016,4QFY-2016,,INR,1,A,,
18315_13741669_13001_4QFY-2018,18315,13741669,4QFY-2018,4QFY-2018,280300000.0,INR,1,A,,-9.987154784842646
18315_13741669_13001_FY-2017,18315,13741669,FY-2017,FY-2017,,INR,1,A,,
18315_13741670_13001_1QFY-2018,18315,13741670,1QFY-2018,1QFY-2018,3400200000.0,INR,1,A,,
18315_13741670_13001_2QFY-2020,18315,13741670,2QFY-2020,2QFY-2020,3977300000.0,INR,1,A,-7.539055235261298,3.518908930012233
18315_13741670_13001_2QFY-2026,18315,13741670,2QFY-2026,2QFY-2026,6003017398.991188,INR,1,E,2.213815749892526,10.363785762711894
18315_13741670_13001_1HFY-2024,18315,13741670,1HFY-2024,1HFY-2024,11097800000.0,INR,1,A,-2.215995700175341,
18315_13741670_13001_3QFY-2027,18315,13741670,3QFY-2027,3QFY-2027,6893207989.414865,INR,1,E,14.675019965971078,0.2727191992474986
18315_13741670_13001_1QFY-2017,18315,13741670,1QFY-2017,1QFY-2017,,INR,1,A,,
18315_13741670_13001_2QFY-2019,18315,13741670,2QFY-2019,2QFY-2019,4301600000.0,INR,1,A,11.927560366361366,10.731845444950704
18315_13741671_13001_1QFY-2018,18315,13741671,1QFY-2018,1QFY-2018,1759100000.0,INR,1,A,,
18315_13741671_13001_1HFY-2025,18315,13741671,1HFY-2025,1HFY-2025,3943800000.0,INR,1,A,9.370753487340194,
18315_13741671_13001_1HFY-2024,18315,13741671,1HFY-2024,1HFY-2024,3605900000.0,INR,1,A,11.193684664960376,
18315_13741671_13001_1QFY-2016,18315,13741671,1QFY-2016,1QFY-2016,,INR,1,A,,
18315_13741671_13001_2QFY-2019,18315,13741671,2QFY-2019,2QFY-2019,1583200000.0,INR,1,A,0.9887095745359444,3.153505342715663
18315_13741672_13001_1QFY-2019,18315,13741672,1QFY-2019,1QFY-2019,754000000.0,INR,1,A,-15.023103798038996,-26.8883932900223
18315_13741672_13001_FY-2026,18315,13741672,FY-2026,FY-2026,11545659023.395067,INR,1,E,10.649956139261167,10.649956139261167
18315_13741672_13001_2QFY-2016,18315,13741672,2QFY-2016,2QFY-2016,,INR,1,A,,
18315_13741672_13001_2QFY-2017,18315,13741672,2QFY-2017,2QFY-2017,,INR,1,A,,
18315_13741672_13001_3QFY-2018,18315,13741672,3QFY-2018,3QFY-2018,952600000.0,INR,1,A,,-1.8646337694447308
18315_13741672_13001_3QFY-2016,18315,13741672,3QFY-2016,3QFY-2016,,INR,1,A,,
18315_13741672_13001_4QFY-2016,18315,13741672,4QFY-2016,4QFY-2016,,INR,1,A,,
18315_13741672_13001_2QFY-2027,18315,13741672,2QFY-2027,2QFY-2027,3197934541.47068,INR,1,E,6.642383498534316,34.50166015756658
18315_13741672_13001_1HFY-2019,18315,13741672,1HFY-2019,1HFY-2019,1654900000.0,INR,1,A,-10.931108719052745,
18315_13741673_13001_FY-2017,18315,13741673,FY-2017,FY-2017,,XXX,6,A,,
18315_13741674_13001_1QFY-2016,18315,13741674,1QFY-2016,1QFY-2016,,XXX,6,A,,
18315_13741674_13001_2QFY-2019,18315,13741674,2QFY-2019,2QFY-2019,5010000.0,XXX,6,A,12.584269662921349,6.369426751592357
18315_13741674_13001_4QFY-2017,18315,13741674,4QFY-2017,4QFY-2017,,XXX,6,A,,
18315_13741675_13001_3QFY-2018,18315,13741675,3QFY-2018,3QFY-2018,2990000.0,XXX,6,A,,-9.939759036144578
18315_13741675_13001_1QFY-2017,18315,13741675,1QFY-2017,1QFY-2017,,XXX,6,A,,
18315_13741676_13001_2QFY-2020,18315,13741676,2QFY-2020,2QFY-2020,358.276810265811,INR,1,A,-5.799918074522856,1.2697784931862968
18315_13741676_13001_1HFY-2023,18315,13741676,1HFY-2023,1HFY-2023,402.4574468085106,INR,1,A,9.769735639237096,4.194695780899342
18315_13741677_13001_FY-2017,18315,13741677,FY-2017,FY-2017,,INR,1,A,,
18315_13741683_13001_1QFY-2018,18315,13741683,1QFY-2018,1QFY-2018,158858099.68847352,XXX,6,A,,
18315_13741684_13001_3QFY-2027,18315,13741684,3QFY-2027,3QFY-2027,159225646.50398046,XXX,6,E,0.01191243977502502,-0.0000064874262350821735
18315_13741702_13001_1HFY-2025,18315,13741702,1HFY-2025,1HFY-2025,1134300000.0,INR,1,A,-30.316992259491336,
18315_13741710_13001_1HFY-2019,18315,13741710,1HFY-2019,1HFY-2019,1605200000.0,INR,1,A,-12.245790509512355,
18315_13741710_13001_2QFY-2019,18315,13741710,2QFY-2019,2QFY-2019,863800000.0,INR,1,A,-14.006968641114984,16.50930671702185
18315_13741729_13001_1HFY-2025,18315,13741729,1HFY-2025,1HFY-2025,1003900000.0,INR,1,A,-48.97326420656704,
18315_13741732_13001_FY-2027,18315,13741732,FY-2027,FY-2027,18971883380.152367,INR,1,E,1.3165489886422006,1.3165489886422006
18315_13741737_13001_1QFY-2020,18315,13741737,1QFY-2020,1QFY-2020,3.211402545626171,INR,1,A,11.937654470613495,-22.61680612948986
18315_13741738_13001_2QFY-2028,18315,13741738,2QFY-2028,2QFY-2028,8.85987115273421,INR,1,E,-3.3497295263896616,10.715645047606477
18315_13741738_13001_1HFY-2024,18315,13741738,1HFY-2024,1HFY-2024,13.529029999999869,INR,1,A,32.82439709607514,
18315_13741738_13001_FY-2019,18315,13741738,FY-2019,FY-2019,14.249685534591196,INR,1,A,-2.7226238862087584,-2.7226238862087584
